pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FT,2018-09-28,91.7,-3.4846,5.2911,Jose Berrios,456078,621244,,foul,,,,,13.0,,R,R,R,MIN,CWS,S,,,1,0,2018,-1.2977,0.6982,-0.8461,2.2807,,,,0,7,Top,,,,,553902.0,,180928_201229,9.4293,-133.2339,-3.2621,-17.349,26.6897,-23.4093,3.3409,1.5759,,,,91.698,2112.0,6.221,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.2783,,,,,,,,51,2,2-Seam Fastball,2,1,1,2,1,2,1,2,Infield shift,Standard
CU,2018-09-28,83.4,-3.627,5.2189,Jose Berrios,456078,621244,,ball,,,,,13.0,,R,R,R,MIN,CWS,B,,,0,0,2018,1.155,-0.1976,-0.2108,0.6941,,,,0,7,Top,,,,,553902.0,,180928_201208,5.5695,-121.2182,-3.5173,10.0018,24.1848,-33.6268,3.3024,1.5261,,,,82.35,2327.0,5.697,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.8023,,,,,,,,51,1,Curveball,2,1,1,2,1,2,1,2,Infield shift,Standard
FF,2018-09-28,95.8,-3.291,5.5457,Jose Berrios,553882,621244,strikeout,swinging_strike,,,,,12.0,Omar Narvaez strikes out swinging.  ,R,L,R,MIN,CWS,S,2.0,,0,2,2018,-0.7157,1.3658,0.2911,3.876,,,541645.0,2,6,Top,,,,,553902.0,,180928_195303,11.0344,-139.0988,-1.8484,-11.7085,30.8217,-14.3034,3.2913,1.6006,,,,95.566,2310.0,6.248,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.2519,,,0.0,1.0,0.0,0.0,,44,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
FF,2018-09-28,95.6,-3.5826,5.3878,Jose Berrios,553882,621244,,swinging_strike,,,,,4.0,,R,L,R,MIN,CWS,S,,,0,1,2018,-1.0472,1.2223,-0.332,2.3747,,,541645.0,2,6,Top,,,,,553902.0,,180928_195236,10.9029,-138.8571,-5.0709,-15.8818,29.2514,-15.4532,3.2417,1.5758,,,,95.693,2294.0,6.311,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.188,,,,,,,,44,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
FT,2018-09-28,94.8,-3.4327,5.3431,Jose Berrios,553882,621244,,called_strike,,,,,2.0,,R,L,R,MIN,CWS,S,,,0,0,2018,-1.4086,0.7791,-0.0357,2.9333,,,541645.0,2,6,Top,,,,,553902.0,,180928_195218,11.9962,-137.5753,-2.3526,-20.4861,29.4164,-21.9668,3.316,1.7001,,,,94.759,2302.0,6.334,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.1658,,,,,,,,44,1,2-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
FF,2018-09-28,96.8,-3.2848,5.5645,Jose Berrios,571602,621244,strikeout,swinging_strike,,,,,2.0,Matt Davidson strikes out swinging.  ,R,R,R,MIN,CWS,S,2.0,,0,2,2018,-0.8883,1.5429,-0.0542,3.0724,,,541645.0,1,6,Top,,,,,553902.0,,180928_195142,10.5938,-140.5504,-4.6001,-13.9861,29.1672,-10.9479,3.3903,1.5509,,,,96.786,2393.0,6.214,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.2859,,,0.0,1.0,0.0,0.0,,43,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
CU,2018-09-28,82.9,-3.5156,5.2075,Jose Berrios,571602,621244,,called_strike,,,,,1.0,,R,R,R,MIN,CWS,S,,,0,1,2018,1.3884,0.4145,-0.3194,3.2954,,,541645.0,1,6,Top,,,,,553902.0,,180928_195121,4.6046,-120.5157,1.2995,12.2857,23.063,-28.7449,3.4151,1.5509,,,,81.755,2463.0,5.535,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.9641,,,,,,,,43,2,Curveball,1,1,1,1,1,1,1,1,Standard,Standard
FF,2018-09-28,96.1,-3.3048,5.3322,Jose Berrios,571602,621244,,foul,,,,,1.0,,R,R,R,MIN,CWS,S,,,0,0,2018,-1.0346,1.3644,-0.7174,2.8778,,,541645.0,1,6,Top,,,,,553902.0,,180928_195058,9.1302,-139.6066,-3.9591,-15.4286,30.0671,-13.784,3.3903,1.6019,,,,95.82,2247.0,6.123,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.3764,,,,,,,,43,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
CU,2018-09-28,83.5,-3.4334,5.3434,Jose Berrios,594953,621244,strikeout,called_strike,,,,,7.0,Daniel Palka called out on strikes.  ,R,L,R,MIN,CWS,S,2.0,,1,2,2018,1.6104,-0.4692,-0.3957,1.8684,,,541645.0,0,6,Top,,,,,553902.0,,180928_195011,3.8521,-121.3678,-0.6152,14.6799,25.0535,-36.8198,3.4151,1.8244,,,,82.284,2345.0,5.66,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.8391,,,0.0,1.0,0.0,0.0,,42,4,Curveball,1,1,1,1,1,1,1,1,Infield shift,Standard
FF,2018-09-28,96.2,-3.3966,5.5081,Jose Berrios,594953,621244,,ball,,,,,12.0,,R,L,R,MIN,CWS,B,,,0,2,2018,-0.9766,1.3472,0.0376,3.6807,,,541645.0,0,6,Top,,,,,553902.0,,180928_194950,11.2175,-139.6472,-2.2328,-15.1935,31.919,-14.475,3.4646,1.9238,,,,95.499,2381.0,6.053,529615,621244,553902.0,592122.0,463610.0,501303.0,593871.0,543257.0,595909.0,596146.0,54.447,,,,,,,,42,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shift,Standard
